CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 74.917969 1510660666.4799
MEM 75.027344 1510660666.5850
MEM 75.128906 1510660666.6869
MEM 75.238281 1510660666.7920
MEM 75.347656 1510660666.8971
MEM 75.457031 1510660666.9991
MEM 75.550781 1510660667.0996
MEM 75.660156 1510660667.2011
MEM 75.761719 1510660667.3063
MEM 75.871094 1510660667.4089
MEM 75.980469 1510660667.5140
MEM 76.089844 1510660667.6173
MEM 76.191406 1510660667.7224
MEM 76.300781 1510660667.8247
MEM 76.410156 1510660667.9298
MEM 76.511719 1510660668.0349
MEM 76.621094 1510660668.1369
MEM 76.730469 1510660668.2411
MEM 76.843750 1510660668.3462
MEM 76.941406 1510660668.4488
MEM 77.050781 1510660668.5539
MEM 77.164062 1510660668.6590
MEM 77.265625 1510660668.7623
MEM 77.375000 1510660668.8672
MEM 77.488281 1510660668.9723
MEM 77.593750 1510660669.0746
MEM 77.699219 1510660669.1797
MEM 77.808594 1510660669.2848
MEM 77.917969 1510660669.3899
MEM 78.031250 1510660669.4950
MEM 78.128906 1510660669.5959
MEM 78.238281 1510660669.6998
MEM 78.347656 1510660669.8049
MEM 78.453125 1510660669.9101
MEM 78.562500 1510660670.0152
MEM 78.667969 1510660670.1155
MEM 78.125000 1510660670.2206
MEM 78.234375 1510660670.3237
MEM 78.343750 1510660670.4264
MEM 78.449219 1510660670.5288
MEM 78.550781 1510660670.6306
MEM 78.656250 1510660670.7331
MEM 78.757812 1510660670.8360
MEM 78.863281 1510660670.9384
MEM 78.972656 1510660671.0396
MEM 79.074219 1510660671.1432
MEM 79.183594 1510660671.2483
MEM 79.289062 1510660671.3487
MEM 79.390625 1510660671.4538
MEM 79.500000 1510660671.5560
MEM 79.605469 1510660671.6612
MEM 79.718750 1510660671.7663
MEM 79.816406 1510660671.8671
MEM 79.925781 1510660671.9722
MEM 80.035156 1510660672.0745
MEM 80.136719 1510660672.1796
MEM 80.246094 1510660672.2848
MEM 80.355469 1510660672.3879
MEM 80.457031 1510660672.4930
MEM 80.562500 1510660672.5958
MEM 80.675781 1510660672.7009
MEM 80.785156 1510660672.8058
MEM 80.890625 1510660672.9109
MEM 80.996094 1510660673.0130
MEM 81.109375 1510660673.1181
MEM 81.207031 1510660673.2187
MEM 81.316406 1510660673.3225
MEM 81.421875 1510660673.4260
MEM 81.523438 1510660673.5291
MEM 81.632812 1510660673.6342
MEM 81.742188 1510660673.7393
MEM 81.855469 1510660673.8444
MEM 81.957031 1510660673.9486
MEM 82.066406 1510660674.0537
MEM 82.175781 1510660674.1542
MEM 82.277344 1510660674.2594
MEM 82.386719 1510660674.3645
MEM 82.496094 1510660674.4653
MEM 82.605469 1510660674.5691
MEM 82.707031 1510660674.6743
MEM 82.820312 1510660674.7794
MEM 82.929688 1510660674.8845
MEM 83.027344 1510660674.9855
MEM 83.136719 1510660675.0899
MEM 83.250000 1510660675.1950
MEM 83.359375 1510660675.2985
MEM 83.457031 1510660675.3998
MEM 83.566406 1510660675.5005
MEM 83.675781 1510660675.6056
MEM 83.777344 1510660675.7107
MEM 83.886719 1510660675.8158
MEM 83.996094 1510660675.9170
MEM 84.097656 1510660676.0220
MEM 84.207031 1510660676.1270
MEM 84.320312 1510660676.2321
MEM 84.425781 1510660676.3329
MEM 84.527344 1510660676.4359
MEM 84.636719 1510660676.5410
MEM 84.750000 1510660676.6461
MEM 84.847656 1510660676.7485
MEM 84.957031 1510660676.8523
MEM 85.070312 1510660676.9574
MEM 85.179688 1510660677.0623
MEM 85.281250 1510660677.1669
MEM 85.390625 1510660677.2721
MEM 83.394531 1510660677.3744
MEM 83.507812 1510660677.4795
MEM 83.609375 1510660677.5844
MEM 83.718750 1510660677.6895
MEM 83.828125 1510660677.7946
MEM 83.929688 1510660677.8984
MEM 84.035156 1510660677.9986
